"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"270","Ryan Getzlaf","ANA","C","33","1985-05-10","Regina","SK","CAN","CAN","76","225","2003","ANA","1","19","19"
"458","Ryan Hamilton","TOR","L","33","1985-04-15","Oshawa","ON","CAN","CAN","74","219","-","-","-","-","-"
"778","Ryan Johansen","CBJ","C","26","1992-07-31","Vancouver","BC","CAN","CAN","75","218","2010","CBJ","1","4","4"
"361","Ryan Jones","EDM","L","34","1984-06-14","Chatham","ON","CAN","CAN","73","208","2004","MIN","4","13","111"
"273","Ryan Kesler","VAN","C","34","1984-08-31","Livonia","MI","USA","USA","74","206","2003","VAN","1","23","23"
"116","Ryan Malone","T.B","L","39","1979-12-01","Pittsburgh","PA","USA","USA","76","224","1999","PIT","4","19","115"
"576","Ryan McDonagh","NYR","D","29","1989-06-13","St. Paul","MN","USA","USA","73","215","2007","MTL","1","12","12"
"813","Ryan Murphy","CAR","D","26","1993-03-31","Aurora","ON","CAN","CAN","71","181","2011","CAR","1","12","12"
"804","Ryan Nugent-Hopkins","EDM","C","26","1993-04-12","Burnaby","BC","CAN","CAN","72","184","2011","EDM","1","1","1"
"290","Ryan O'Byrne","COL, TOR","D","34","1984-07-19","Victoria","BC","CAN","CAN","77","234","2003","MTL","3","11","79"
"684","Ryan O'Reilly","COL","C","28","1991-02-07","Clinton","ON","CAN","CAN","73","216","2009","COL","2","3","33"
"436","Ryan Reaves","STL","R","32","1987-01-20","Winnipeg","MB","CAN","CAN","73","225","2005","STL","5","31","156"
"19","Ryan Smyth","EDM","L","43","1976-02-21","Banff","AB","CAN","CAN","74","191","1994","EDM","1","6","6"
"755","Ryan Spooner","BOS","C","27","1992-01-30","Ottawa","ON","CAN","CAN","70","191","2010","BOS","2","15","45"
"742","Ryan Stanton","CHI","D","29","1989-07-20","St. Albert","AB","CAN","CAN","73","205","-","-","-","-","-"
"261","Ryan Suter","MIN","D","34","1985-01-21","Madison","WI","USA","USA","74","208","2003","NSH","1","7","7"
"470","Ryan White","MTL","C","31","1988-03-17","Brandon","MB","CAN","CAN","72","200","2006","MTL","3","3","66"
"250","Ryan Whitney","EDM","D","36","1983-02-19","Boston","MA","USA","USA","76","209","2002","PIT","1","5","5"
"514","Ryan Wilson","COL","D","32","1987-02-03","Windsor","ON","CAN","CAN","73","210","-","-","-","-","-"
"192","Ryane Clowe","NYR, S.J","L","36","1982-09-30","St. John's","NL","CAN","CAN","75","188","2001","S.J","6","10","175"
"9","Saku Koivu","ANA","C","44","1974-11-23","Turku","","FIN","FIN","70","181","1993","MTL","1","21","21"
"546","Sam Gagner","EDM","C","29","1989-08-10","London","ON","CAN","CAN","71","200","2007","EDM","1","6","6"
"53","Sami Salo","T.B","D","44","1974-09-02","Turku","","FIN","FIN","75","215","1996","OTT","9","24","239"
"722","Sami Vatanen","ANA","D","27","1991-06-03","Jyväskylä","","FIN","FIN","70","185","2009","ANA","4","15","106"
"83","Scott Gomez","S.J","C","39","1979-12-23","Anchorage","AK","USA","USA","71","200","1998","N.J","1","27","27"
"63","Scott Hannan","NSH, S.J","D","40","1979-01-23","Richmond","BC","CAN","CAN","73","215","1997","S.J","1","23","23"
"134","Scott Hartnell","PHI","L","36","1982-04-18","Regina","SK","CAN","CAN","74","215","2000","NSH","1","6","6"
"832","Scott Laughton","PHI","C","24","1994-05-30","Oakville","ON","CAN","CAN","73","190","2012","PHI","1","20","20"
"17","Scott Nichol","STL","C","44","1974-12-31","Edmonton","AB","CAN","CAN","68","179","1993","BUF","11","12","272"
"733","Scott Timmins","FLA","C","29","1989-09-11","Hamilton","ON","CAN","CAN","71","191","2009","FLA","6","14","165"
"218","Scottie Upshall","FLA","R","35","1983-10-07","Fort McMurray","AB","CAN","CAN","72","200","2002","NSH","1","6","6"
"662","Sean Collins","CBJ","C","30","1988-12-29","Saskatoon","SK","CAN","CAN","73","198","2008","CBJ","7","6","187"
"810","Sean Couturier","PHI","C","26","1992-12-07","Phoenix","AZ","USA","CAN","75","211","2011","PHI","1","8","8"
"7","Sergei Gonchar","OTT","D","44","1974-04-13","Chelyabinsk","","RUS","RUS","74","210","1992","WSH","1","14","14"
"443","Sergei Kostitsyn","NSH","L","32","1987-03-20","Novopolotsk","","BLR","BLR","72","196","2005","MTL","7","6","200"
"28","Shane Doan","PHX","R","42","1976-10-10","Halkirk","AB","CAN","CAN","73","223","1995","WIN","1","7","7"
"314","Shane O'Brien","COL","D","35","1983-08-09","Port Hope","ON","CAN","CAN","75","230","2003","ANA","8","21","250"
"93","Shawn Horcoff","EDM","C","40","1978-09-17","Trail","BC","CAN","CAN","73","210","1998","EDM","4","13","99"
"636","Shawn Lalonde","CHI","D","29","1990-03-10","Ottawa","ON","CAN","CAN","73","204","2008","CHI","3","7","68"
"500","Shawn Matthias","FLA","L","31","1988-02-19","Mississauga","ON","CAN","CAN","76","231","2006","DET","2","17","47"
"56","Shawn Thornton","BOS","L","41","1977-07-23","Oshawa","ON","CAN","CAN","74","217","1997","TOR","7","29","190"
"282","Shea Weber","NSH","D","33","1985-08-14","Sicamous","BC","CAN","CAN","76","229","2003","NSH","2","19","49"
"209","Sheldon Brookbank","CHI","D","38","1980-10-03","Lanigan","SK","CAN","CAN","73","202","-","-","-","-","-"
"21","Sheldon Souray","ANA","D","42","1976-07-13","Elk Point","AB","CAN","CAN","76","231","1994","N.J","3","19","71"
"394","Sidney Crosby","PIT","C","31","1987-08-07","Cole Harbour","NS","CAN","CAN","71","200","2005","PIT","1","1","1"
"683","Simon Despres","PIT","D","27","1991-07-27","Laval","QC","CAN","CAN","76","218","2009","PIT","1","30","30"
"82","Simon Gagne","L.A, PHI","L","39","1980-02-29","Ste. Foy","QC","CAN","CAN","73","195","1998","PHI","1","22","22"
"621","Slava Voynov","L.A","D","29","1990-01-15","Chelyabinsk","","RUS","RUS","72","194","2008","L.A","2","2","32"
"716","Stefan Elliott","COL","D","28","1991-01-30","Vancouver","BC","CAN","CAN","73","190","2009","COL","2","19","49"
"831","Stefan Matteau","N.J","C","25","1994-02-23","Chicago","IL","USA","USA","74","220","2012","N.J","1","29","29"
"795","Stephane Da Costa","OTT","C","29","1989-07-11","Paris","","FRA","FRA","71","180","-","-","-","-","-"
"33","Stephane Robidas","DAL","D","42","1977-03-03","Sherbrooke","QC","CAN","CAN","71","190","1995","MTL","7","8","164"
"457","Stephen Gionta","N.J","R","35","1983-10-09","Rochester","NY","USA","USA","67","177","-","-","-","-","-"
"162","Stephen Weiss","FLA","C","36","1983-04-03","Toronto","ON","CAN","CAN","71","190","2001","FLA","1","4","4"
"43","Steve Begin","CGY","L","40","1978-06-14","Trois-Rivieres","QC","CAN","CAN","72","192","1996","CGY","2","14","40"
"267","Steve Bernier","N.J","R","34","1985-03-31","Quebec City","QC","CAN","CAN","75","222","2003","S.J","1","16","16"
"410","Steve Downie","COL","R","32","1987-04-03","Newmarket","ON","CAN","CAN","71","191","2005","PHI","1","29","29"
"235","Steve Eminger","NYR","D","35","1983-10-31","Woodbridge","ON","CAN","CAN","74","207","2002","WSH","1","12","12"
"320","Steve MacIntyre","PIT","L","38","1980-08-08","Brock","SK","CAN","CAN","77","250","-","-","-","-","-"
"792","Steve Oleksy","WSH","D","33","1986-02-04","Chesterfield","MI","USA","USA","72","188","-","-","-","-","-"
"139","Steve Ott","BUF","C","36","1982-08-19","Summerside","PE","CAN","CAN","72","193","2000","DAL","1","25","25"
"25","Steve Sullivan","N.J, PHX","L","44","1974-07-06","Timmins","ON","CAN","CAN","69","165","1994","N.J","9","25","233"
"520","Steven Pinizzotto","VAN","R","34","1984-04-26","Mississauga","ON","CAN","CAN","73","205","-","-","-","-","-"
"602","Steven Stamkos","T.B","C","29","1990-02-07","Markham","ON","CAN","CAN","73","194","2008","T.B","1","1","1"
"664","Stu Bickel","NYR","D","32","1986-10-02","Chanhassen","MN","USA","USA","76","207","-","-","-","-","-"
"814","Sven Baertschi","CGY","L","26","1992-10-05","Bern","","CHE","CHE","71","190","2011","CGY","1","13","13"
"405","T.J. Oshie","STL","R","32","1986-12-23","Everett","WA","USA","USA","71","195","2005","STL","1","24","24"
"316","Tanner Glass","PIT","L","35","1983-11-29","Regina","SK","CAN","CAN","73","213","2003","FLA","9","4","265"
"709","Taylor Beck","NSH","L","27","1991-05-13","St. Catharines","ON","CAN","CAN","74","203","2009","NSH","3","9","70"
"776","Taylor Hall","EDM","L","27","1991-11-14","Calgary","AB","CAN","CAN","73","205","2010","EDM","1","1","1"
"107","Taylor Pyatt","NYR","L","37","1981-08-19","Thunder Bay","ON","CAN","CAN","76","230","1999","NYI","1","8","8"
"527","Teddy Purcell","T.B","L","33","1985-09-08","St. John's","NL","CAN","CAN","74","195","-","-","-","-","-"
"657","Teemu Hartikainen","EDM","C","28","1990-05-03","Kuopio","","FIN","FIN","73","214","2008","EDM","6","12","163"
"2","Teemu Selanne","ANA","R","48","1970-07-03","Helsinki","","FIN","FIN","72","209","1988","WIN","1","10","10"
"481","Theo Peckham","EDM","D","31","1987-11-10","Richmond Hill","ON","CAN","CAN","74","246","2006","EDM","3","12","75"
"554","Thomas Hickey","NYI","D","30","1989-02-08","Calgary","AB","CAN","CAN","72","183","2007","L.A","1","4","4"
"259","Thomas Vanek","BUF","L","35","1984-01-19","Vienna","","AUT","AUT","74","214","2003","BUF","1","5","5"
"247","Tim Brent","CAR","C","35","1984-03-10","Cambridge","","CAN","CAN","72","188","2004","ANA","3","10","75"
"679","Tim Erixon","CBJ","D","28","1991-02-24","Port Chester","NY","USA","SWE","74","200","2009","CGY","1","23","23"
"173","Tim Gleason","CAR","D","36","1983-01-29","Clawson","MI","USA","USA","72","217","2001","OTT","1","23","23"
"176","Tim Jackman","CGY","R","37","1981-11-14","Minot","ND","USA","USA","74","188","2001","CBJ","2","8","38"
"439","Tim Kennedy","S.J","L","32","1986-04-30","Buffalo","NY","USA","USA","70","175","2005","WSH","6","19","181"
"388","Tim Sestito","N.J","L","34","1984-08-28","Rome","NY","USA","USA","71","195","-","-","-","-","-"
"517","Tim Wallace","CAR","R","34","1984-08-06","Anchorage","AK","USA","USA","73","207","-","-","-","-","-"
"566","TJ Brennan","BUF, FLA","D","30","1989-04-03","Willingboro","NJ","USA","USA","73","216","2007","BUF","2","1","31"
"643","TJ Brodie","CGY","D","28","1990-06-07","Chatham","ON","CAN","CAN","73","185","2008","CGY","4","23","114"
"533","TJ Galiardi","S.J","L","30","1988-04-22","Calgary","AB","CAN","CAN","74","185","2007","COL","2","25","55"
"312","Toby Enstrom","WPG","D","34","1984-11-05","Nordingra","","SWE","SWE","70","180","2003","ATL","8","10","239"
"101","Toby Petersen","DAL","C","40","1978-10-27","Minneapolis","MN","USA","USA","70","195","1998","PIT","9","16","244"
"10","Todd Bertuzzi","DET","R","44","1975-02-02","Sudbury","ON","CAN","CAN","75","229","1993","NYI","1","23","23"
"217","Tom Gilbert","MIN","D","36","1983-01-10","Bloomington","MN","USA","USA","74","210","2002","COL","4","33","129"
"72","Tom Kostopoulos","N.J","R","40","1979-01-24","Mississauga","ON","CAN","CAN","72","197","1999","PIT","7","18","204"
"45","Tom Poti","WSH","D","42","1977-03-22","Worcester","MA","USA","USA","75","190","1996","EDM","3","7","59"
"429","Tom Pyatt","T.B","L","32","1987-02-14","Thunder Bay","ON","CAN","CAN","71","185","2005","NYR","4","16","107"
"487","Tom Sestito","PHI, VAN","L","31","1987-09-28","Rome","NY","USA","USA","77","228","2006","CBJ","3","22","85"
"433","Tom Wandell","DAL","C","32","1987-01-29","Sodertalje","","SWE","SWE","73","200","2005","DAL","5","21","146"
"211","Tomas Fleischmann","FLA","L","34","1984-05-16","Koprivnice","","CZE","CZE","73","192","2002","DET","2","33","63"
"52","Tomas Kaberle","MTL","D","41","1978-03-02","Rakovnik","","CZE","CZE","73","212","1996","TOR","8","15","204"
"143","Tomas Kopecky","FLA","R","37","1982-02-05","Ilava","","SVK","SVK","75","210","2000","DET","2","8","38"
"639","Tomas Kundratek","WSH","D","29","1989-12-26","Prerov","","CZE","CZE","74","201","2008","NYR","3","29","90"
"182","Tomas Plekanec","MTL","C","36","1982-10-31","Kladno","","CZE","CZE","71","190","2001","MTL","3","8","71"
"710","Tomas Tatar","DET","L","28","1990-12-01","Ilava","","SVK","SVK","70","182","2009","DET","2","30","60"
"730","Tomas Vincour","COL, DAL","C","28","1990-11-19","Brno","","CZE","CZE","74","204","2009","DAL","5","8","129"
"660","Tommy Wingels","S.J","C","31","1988-04-12","Evanston","IL","USA","USA","72","200","2008","S.J","6","26","177"
"47","Toni Lydman","ANA","D","41","1977-09-25","Lahti","","FIN","FIN","74","213","1996","CGY","4","9","89"
"821","Torey Krug","BOS","D","28","1991-04-12","Livonia","MI","USA","USA","69","186","-","-","-","-","-"
"364","Torrey Mitchell","MIN","C","34","1985-01-30","Greenfield Park","QC","CAN","CAN","71","186","2004","S.J","4","28","126"
"629","Travis Hamonic","NYI","D","28","1990-08-16","St. Malo","MB","CAN","CAN","74","205","2008","NYI","2","23","53"
"151","Travis Moen","MTL","L","37","1982-04-06","Stewart Valley","SK","CAN","CAN","74","215","2000","CGY","5","25","155"
"334","Travis Zajac","N.J","C","33","1985-05-13","Winnipeg","MB","CAN","CAN","74","185","2004","N.J","1","20","20"
"219","Trevor Daley","DAL","D","35","1983-10-09","Toronto","ON","CAN","CAN","71","195","2002","DAL","2","13","43"
"467","Trevor Lewis","L.A","C","32","1987-01-08","Salt Lake City","UT","USA","USA","73","202","2006","L.A","1","17","17"
"524","Trevor Smith","PIT","C","34","1985-02-08","Ottawa","ON","CAN","CAN","73","195","-","-","-","-","-"
"377","Troy Brouwer","WSH","R","33","1985-08-17","Vancouver","BC","CAN","CAN","75","213","2004","CHI","7","21","214"
"165","Tuomo Ruutu","CAR","L","36","1983-02-16","Vantaa","","FIN","FIN","72","200","2001","CHI","1","9","9"
"772","Tye McGinn","PHI","L","28","1990-07-29","Fergus","ON","CAN","CAN","75","218","2010","PHI","4","29","119"
"676","Tyler Bozak","TOR","C","33","1986-03-19","Regina","SK","CAN","CAN","73","199","-","-","-","-","-"
"619","Tyler Ennis","BUF","L","29","1989-10-06","Edmonton","AB","CAN","CAN","69","161","2008","BUF","1","26","26"
"671","Tyler Johnson","T.B","C","28","1990-07-29","Spokane","WA","USA","USA","68","183","-","-","-","-","-"
"357","Tyler Kennedy","PIT","C","32","1986-07-15","Sault Ste. Marie","ON","CAN","CAN","71","185","2004","PIT","4","1","99"
"610","Tyler Myers","BUF","D","29","1990-02-01","Houston","TX","USA","CAN","80","229","2008","BUF","1","12","12"
"779","Tyler Seguin","BOS","C","27","1992-01-31","Brampton","ON","CAN","CAN","73","200","2010","BOS","1","2","2"
"754","Tyler Toffoli","L.A","C","26","1992-04-24","Scarborough","ON","CAN","CAN","72","197","2010","L.A","2","17","47"
"712","Tyson Barrie","COL","D","27","1991-07-26","Victoria","BC","CAN","CAN","70","190","2009","COL","3","3","64"
"298","Tyson Strachan","FLA","D","34","1984-10-30","Melfort","SK","CAN","CAN","75","210","2003","CAR","5","1","137"
"213","Valtteri Filppula","DET","C","35","1984-03-20","Vantaa","","FIN","FIN","72","196","2002","DET","3","32","95"
"202","Vernon Fiddler","DAL","C","38","1980-05-09","Edmonton","AB","CAN","CAN","71","205","-","-","-","-","-"
"511","Victor Bartley","NSH","D","31","1988-02-17","Ottawa","ON","CAN","CAN","72","217","-","-","-","-","-"
"691","Victor Hedman","T.B","D","28","1990-12-18","Ornskoldsvik","","SWE","SWE","78","223","2009","T.B","1","2","2"
"486","Viktor Stalberg","CHI","L","33","1986-01-17","Gothenburg","","SWE","SWE","75","209","2006","TOR","6","8","161"
"599","Ville Leino","BUF","L","35","1983-10-06","Savonlinna","","FIN","FIN","73","182","-","-","-","-","-"
"74","Vincent Lecavalier","T.B","C","38","1980-04-21","Ile Bizard","QC","CAN","CAN","76","215","1998","T.B","1","1","1"
"13","Vinny Prospal","CBJ","L","44","1975-02-17","Ceské Budejovice","","CZE","CZE","74","191","1993","PHI","3","19","71"
"422","Vladimir Sobotka","STL","L","31","1987-07-02","Trebic","","CZE","CZE","70","189","2005","BOS","4","15","106"
"766","Vladimir Tarasenko","STL","R","27","1991-12-13","Yaroslavl","","RUS","RUS","72","225","2010","STL","1","16","16"
"27","Wade Redden","BOS, STL","D","41","1977-06-12","Lloydminster","SK","CAN","CAN","74","205","1995","NYI","1","2","2"
"586","Wayne Simmonds","PHI","R","30","1988-08-26","Scarborough","ON","CAN","CAN","74","185","2007","L.A","2","31","61"
"335","Wojtek Wolski","WSH","L","33","1986-02-24","Zabrze","","POL","CAN","75","215","2004","COL","1","21","21"
"569","Yannick Weber","MTL","D","30","1988-09-23","Morges","","CHE","CHE","71","200","2007","MTL","3","12","73"
"628","Zac Dalpe","CAR","C","29","1989-11-01","Paris","ON","CAN","CAN","74","194","2008","CAR","2","15","45"
"659","Zac Rinaldo","PHI","C","28","1990-06-15","Mississauga","ON","CAN","CAN","70","192","2008","PHI","6","27","178"
"604","Zach Bogosian","WPG","D","28","1990-07-15","Massena","NY","USA","USA","75","226","2008","ATL","1","3","3"
"611","Zach Boychuk","CAR, NSH, PIT","L","29","1989-10-04","Airdrie","AB","CAN","CAN","70","185","2008","CAR","1","14","14"
"268","Zach Parise","MIN","L","34","1984-07-28","Minneapolis","MN","USA","USA","71","193","2003","N.J","1","17","17"
"661","Zach Redmond","WPG","D","30","1988-07-26","Traverse City","MI","USA","USA","74","212","2008","ATL","7","3","184"
"700","Zack Kassian","VAN","R","28","1991-01-24","Windsor","ON","CAN","CAN","75","211","2009","BUF","1","13","13"
"592","Zack Smith","OTT","C","31","1988-04-05","Maple Creek","SK","CAN","CAN","74","208","2008","OTT","3","18","79"
"203","Zbynek Michalek","PHX","D","36","1982-12-23","Jindrichuv Hradec","","CZE","CZE","74","210","-","-","-","-","-"
"44","Zdeno Chara","BOS","D","42","1977-03-18","Trencin","","SVK","SVK","81","250","1996","NYI","3","4","56"
"208","Zenon Konopka","MIN","C","38","1981-01-02","Niagara on the Lake","ON","CAN","CAN","72","213","-","-","-","-","-"
